City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Zabid,14.1951,43.3152,74.73,64,19,4.74,YE,1613021146
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,71.01,86,39,4.03,AR,1613021146
Vila,42.0304,-8.1588,51.01,96,100,8.99,PT,1613021146
Muravlenko,63.7898,74.523,-21.01,86,100,15.59,RU,1613021146
Vila Velha,-20.3297,-40.2925,75.2,94,75,3.44,BR,1613021146
Verkhnyaya Inta,65.9811,60.3094,-20.72,87,100,7.36,RU,1613021147
Longhua,23.6137,114.1919,68.68,59,18,4.83,CN,1613021147
Adrar,20.5022,-10.0711,60.37,25,0,9.86,MR,1613021148
Avera,33.194,-82.5271,61.0,97,90,3.02,US,1613021148
Phuket,8.0,98.25,87.8,58,40,10.36,TH,1613021149
Tuatapere,-46.1333,167.6833,52.7,78,99,13.02,NZ,1613021149
Punta Arenas,-53.15,-70.9167,55.4,88,90,9.22,CL,1613020872
Deputatsky,69.3,139.9,-20.34,90,97,2.28,RU,1613021149
Carnarvon,-24.8667,113.6333,80.6,65,0,21.85,AU,1613021149
Ust-Nera,64.5667,143.2,8.04,84,38,4.38,RU,1613021150
Airai,-8.9266,125.4092,72.55,87,78,3.4,TL,1613021150
Saint George,37.1041,-113.5841,52.0,43,1,2.84,US,1613021150
Kaitangata,-46.2817,169.8464,55.99,67,100,20.0,NZ,1613021151
Ponta do Sol,32.6667,-17.1,60.8,77,20,2.3,PT,1613021151
Laguna,38.421,-121.4238,54.0,71,1,8.05,US,1613021151
Alofi,-19.0595,-169.9187,84.2,74,100,5.75,NU,1613021152
Atar,20.5169,-13.0499,62.83,25,0,9.95,MR,1613021152
Hong Kong,22.2855,114.1577,66.0,75,3,1.01,HK,1613020980
Belmonte,-15.8631,-38.8828,71.6,94,0,3.44,BR,1613021152
Freeport,40.6576,-73.5832,30.99,64,90,3.09,US,1613021044
Kon Tum,14.35,108.0,84.18,37,63,4.03,VN,1613020865
Poum,-20.2333,164.0167,79.5,74,8,15.93,NC,1613021153
Dunedin,-45.8742,170.5036,57.99,67,78,25.99,NZ,1613021153
Lompoc,34.6391,-120.4579,51.8,87,1,10.96,US,1613021003
Cape Town,-33.9258,18.4232,69.01,88,0,11.5,ZA,1613020962
Ilulissat,69.2167,-51.1,14.0,67,90,14.97,GL,1613021170
‘Āhuimanu,21.4447,-157.8378,73.4,60,75,8.05,US,1613021170
Kapaa,22.0752,-159.319,71.6,60,75,6.91,US,1613021170
Bredasdorp,-34.5322,20.0403,59.0,94,3,2.3,ZA,1613021170
Dukat,62.55,155.55,4.5,91,73,5.88,RU,1613021171
Port-Gentil,-0.7193,8.7815,82.4,89,75,5.75,GA,1613021171
Stolbishche,55.6468,49.216,1.4,78,75,8.95,RU,1613021171
Tonantins,-2.8731,-67.8022,73.74,95,47,1.12,BR,1613021171
Grindavik,63.8424,-22.4338,35.6,93,90,16.11,IS,1613021172
Cabo San Lucas,22.8909,-109.9124,64.0,78,4,15.64,MX,1613020920
Nuquí,5.7125,-77.2708,76.96,82,100,2.82,CO,1613021172
Saint-Pierre,-21.3393,55.4781,84.99,61,75,9.22,RE,1613021067
Rome,43.2128,-75.4557,17.01,73,20,0.78,US,1613021157
Tiarei,-17.5333,-149.3333,80.6,69,75,4.61,PF,1613020989
Bathsheba,13.2167,-59.5167,76.44,77,10,18.34,BB,1613021173
Rockland,41.1668,-74.0496,28.0,71,100,1.52,US,1613021174
Norman Wells,65.282,-126.8329,-16.6,76,20,6.91,CA,1613021174
Constitución,-35.3333,-72.4167,61.2,91,82,1.45,CL,1613021174
Srednekolymsk,67.45,153.6833,-16.67,88,43,2.01,RU,1613021174
Kloulklubed,7.0419,134.2556,86.0,74,90,10.36,PW,1613021174
Ancud,-41.8697,-73.8203,60.01,88,0,3.44,CL,1613021175
Quelimane,-17.8786,36.8883,78.8,69,75,9.22,MZ,1613021175
Kautokeino,69.0125,23.0412,11.46,90,100,5.86,NO,1613021175
Sioux Lookout,50.1001,-91.917,-27.4,68,40,2.3,CA,1613021175
Jūybār,36.6412,52.9124,42.8,100,75,1.34,IR,1613021176
Talaya,61.3833,152.75,-0.98,89,91,3.04,RU,1613021176
Port Alfred,-33.5906,26.891,75.99,92,25,1.01,ZA,1613021177
Palmeira,-25.4294,-50.0064,57.76,99,78,2.8,BR,1613021177
Saint Paul Harbor,57.79,-152.4072,37.4,70,90,39.12,US,1613021177
‘Ewa Beach,21.3156,-158.0072,73.4,56,90,3.44,US,1613021116
Mount Isa,-20.7333,139.5,98.6,34,75,12.66,AU,1613021178
Faanui,-16.4833,-151.75,81.36,72,43,18.66,PF,1613021178
Brigantine,39.4101,-74.3646,33.01,93,90,7.18,US,1613021017
Iqaluit,63.7506,-68.5145,0.0,78,1,8.05,CA,1613021179
Kruisfontein,-34.0033,24.7314,72.0,89,14,1.01,ZA,1613021179
Thayetmyo,19.3167,95.1833,92.35,18,0,4.05,MM,1613021179
Atbasar,51.8,68.3333,-9.49,90,61,6.08,KZ,1613021179
Laas,46.6166,10.7002,32.0,69,40,6.91,IT,1613021180
East London,-33.0153,27.9116,71.6,94,0,6.91,ZA,1613021116
Pimentel,-6.8367,-79.9342,72.0,87,60,1.99,PE,1613021180
Khatanga,71.9667,102.5,-22.16,83,2,3.94,RU,1613021180
Ol'ga,43.7444,135.2892,34.81,74,0,8.48,RU,1613021181
Klaksvík,62.2266,-6.589,30.2,80,75,1.14,FO,1613021181
Aranos,-24.1333,19.1167,72.16,57,94,8.16,NA,1613021181
Gold Coast,-28.0,153.4333,80.6,54,40,14.97,AU,1613020926
Tura,25.5198,90.2201,78.39,29,0,3.71,IN,1613021181
Souillac,-20.5167,57.5167,84.0,64,98,8.99,MU,1613021182
Kayseri Province,38.737,35.4968,30.2,93,0,4.99,TR,1613021070
Terrace Bay,48.7834,-87.1,-13.0,77,12,5.75,CA,1613021182
Mar del Plata,-38.0023,-57.5575,68.0,88,75,13.8,AR,1613020889
Qui Nhon,13.7667,109.2333,72.99,71,61,16.96,VN,1613021183
Liwale,-9.7667,37.9333,70.27,97,100,4.0,TZ,1613021183
Turan,16.0678,108.2208,75.2,60,20,19.57,VN,1613020956
Maragogi,-9.0122,-35.2225,76.95,87,13,7.87,BR,1613021184
Huanan,46.2167,130.5167,27.9,95,70,8.97,CN,1613021184
Itaperuna,-21.205,-41.8878,68.58,93,62,0.78,BR,1613021184
Feijó,-8.1642,-70.3536,73.58,98,100,3.22,BR,1613021184
Tottori-shi,35.5,134.2333,51.8,54,20,4.61,JP,1613021185
Hong Gai,20.956,107.0946,73.4,49,0,4.61,VN,1613021185
Kilindoni,-7.9139,39.6668,81.72,80,100,16.4,TZ,1613021185
Dannenberg,53.0967,11.09,21.0,90,65,6.11,DE,1613021186
Qaanaaq,77.484,-69.3632,5.86,77,66,11.36,GL,1613021186
Halifax,44.6453,-63.5724,19.4,68,35,6.91,CA,1613021183
Baloda Bāzār,21.6667,82.1667,79.54,20,59,1.72,IN,1613021187
Katobu,-4.9408,122.5276,91.8,49,81,4.27,ID,1613021187
General Roca,-39.0333,-67.5833,73.4,46,0,8.05,AR,1613021188
Homer,59.6425,-151.5483,33.8,75,90,5.75,US,1613021188
Tiksi,71.6872,128.8694,-12.75,88,15,1.99,RU,1613021188
Ayagoz,47.9714,80.4392,5.02,92,100,7.96,KZ,1613021188
Cabedelo,-6.9811,-34.8339,77.0,100,75,6.91,BR,1613021099
Yumen,40.2833,97.2,38.59,61,72,11.3,CN,1613021189
Talcahuano,-36.7167,-73.1167,59.0,100,90,3.44,CL,1613021189
Tuktoyaktuk,69.4541,-133.0374,-22.0,69,1,16.11,CA,1613021189
Pudozh,61.8099,36.5345,-5.84,90,99,2.71,RU,1613021190
Aitape,-3.1374,142.3475,83.46,77,92,8.93,PG,1613021190
Carballo,43.213,-8.691,57.0,91,100,1.99,ES,1613021190
Kashgar,39.4547,75.9797,46.4,23,20,4.47,CN,1613021190
Tasiilaq,65.6145,-37.6368,12.2,48,79,6.91,GL,1613021190
Praia,14.9215,-23.5087,69.8,68,0,11.5,CV,1613021191
Banda Aceh,5.5577,95.3222,85.91,64,14,4.29,ID,1613021191
Chicama,-7.8447,-79.1469,73.63,72,100,4.29,PE,1613021191
Saurimo,-9.6608,20.3916,64.17,96,100,3.18,AO,1613021191
Sur,22.5667,59.5289,75.61,52,96,5.84,OM,1613020986
Ihosy,-22.4,46.1167,65.52,88,100,4.83,MG,1613021192
Nago,26.5881,127.9761,64.4,88,90,24.16,JP,1613021192
Thompson,55.7435,-97.8558,-32.8,75,1,5.37,CA,1613021185
Marawi,7.9986,124.2928,82.99,83,57,8.01,PH,1613021193
Port Hardy,50.6996,-127.4199,33.8,64,75,18.41,CA,1613021193
Nanning,22.8167,108.3167,68.0,56,40,6.71,CN,1613021193
Champerico,14.3,-91.9167,63.0,95,46,8.1,GT,1613021193
Lerwick,60.1545,-1.1494,35.29,79,5,12.08,GB,1613021194
Puerto Colombia,10.9878,-74.9547,80.6,61,0,4.61,CO,1613021194
Kununurra,-15.7667,128.7333,93.2,55,94,10.36,AU,1613021195
Dabat,12.9842,37.765,53.82,42,82,5.39,ET,1613021195
Kismayo,-0.3582,42.5454,79.3,74,83,18.79,SO,1613021195
Puerto Peñasco,31.3167,-113.5333,57.99,90,0,1.99,MX,1613021107
Cap Malheureux,-19.9842,57.6142,84.0,64,54,8.99,MU,1613021196
Ketchikan,55.3422,-131.6461,23.0,53,1,3.44,US,1613021196
Usogorsk,63.4106,48.6872,-14.69,88,0,3.09,RU,1613021196
Nikolskoye,59.7035,30.7861,6.01,85,40,6.71,RU,1613021208
Eckernförde,54.4667,9.8333,23.0,90,82,1.99,DE,1613021208
Geraldton,-28.7667,114.6,78.8,47,0,25.32,AU,1613021208
Luorong,24.4058,109.6086,66.07,56,1,8.08,CN,1613021209
San Policarpo,12.1791,125.5072,81.86,79,8,12.03,PH,1613021209
Karachev,53.1229,34.9852,10.4,79,75,2.24,RU,1613021209
San Cristobal,7.7669,-72.225,65.1,88,52,2.08,VE,1613021209
Birao,10.2849,22.7882,61.68,29,2,4.54,CF,1613021210
Moberly,39.4184,-92.4382,12.2,67,1,11.5,US,1613021210
Yulara,-25.2406,130.9889,98.6,34,40,14.97,AU,1613021211
Saldanha,-33.0117,17.9442,60.8,82,0,3.44,ZA,1613021211
Havre-St-Pierre,50.2334,-63.5986,3.2,60,90,19.57,CA,1613021211
Merauke,-8.4667,140.3333,85.21,73,97,11.05,ID,1613021107
Kalangala,-0.3089,32.225,73.63,64,99,3.69,UG,1613021212
Lima,-12.0432,-77.0282,75.99,69,0,6.91,PE,1613021104
Nouadhibou,20.931,-17.0347,62.6,72,0,17.27,MR,1613021212
Lagoa,39.05,-27.9833,58.28,67,53,33.64,PT,1613021212
Kokkola,63.8385,23.1307,10.0,85,40,3.44,FI,1613021212
Ningyang,35.7642,116.7914,60.24,34,0,10.69,CN,1613020946
Ngunguru,-35.6167,174.5,70.0,72,75,5.01,NZ,1613021213
Severo-Kuril'sk,50.6789,156.125,27.25,97,100,23.33,RU,1613021213
Boa Vista,2.8197,-60.6733,77.0,69,0,6.91,BR,1613021110
Āreka,7.0667,37.7,63.21,56,100,4.23,ET,1613021214
San Quintín,30.4833,-115.95,55.63,82,7,9.82,MX,1613021214
Longyearbyen,78.2186,15.6401,5.0,66,75,19.57,SJ,1613021214
Ayní,39.3941,68.5377,41.14,62,0,7.45,TJ,1613021171
Mossamedes,-15.1961,12.1522,72.19,75,100,3.11,AO,1613021214
Kuybyshevo,47.8123,38.9073,38.03,96,100,5.86,RU,1613021215
Bangsund,64.3968,11.3949,18.0,78,32,5.01,NO,1613021215
Torbay,47.6666,-52.7314,19.99,73,75,25.32,CA,1613021215
Yarkovo,57.4028,67.0786,-16.94,87,11,5.7,RU,1613021215
Monte Carmelo,-18.7247,-47.4986,65.17,93,85,3.2,BR,1613021216
Shimoda,34.6667,138.95,55.4,38,20,6.91,JP,1613021216
Chui,-33.6971,-53.4616,68.63,89,41,9.69,UY,1613021216
Dingzhou,38.5131,114.9956,53.6,35,42,6.71,CN,1613021217
Kyaikto,17.3,97.0167,86.52,29,0,5.57,MM,1613021217
Richards Bay,-28.783,32.0377,77.11,77,98,1.77,ZA,1613021217
Beringovskiy,63.05,179.3167,-23.78,85,88,13.85,RU,1613021218
Upernavik,72.7868,-56.1549,-1.79,90,86,11.79,GL,1613021218
Laki,41.85,24.8167,46.99,93,100,5.75,BG,1613021218
Jiexiu,37.0244,111.9125,54.03,38,99,8.34,CN,1613021218
Hervey Bay,-25.2986,152.8535,82.4,51,47,16.11,AU,1613021219
São Sebastião,-23.76,-45.4097,71.78,83,18,3.49,BR,1613021219
Saint-Philippe,-21.3585,55.7679,84.99,61,75,9.22,RE,1613021219
La Ronge,55.1001,-105.2842,-29.2,68,80,3.44,CA,1613021219
Fortuna,40.5982,-124.1573,44.01,100,1,3.44,US,1613021220
Saint-François,46.4154,3.9054,28.4,80,90,8.05,FR,1613021220
San Miguel de Tucumán,-26.8241,-65.2226,66.2,88,0,8.05,AR,1613021220
Vao,-22.6667,167.4833,76.77,81,0,14.61,NC,1613021220
Biltine,14.5333,20.9167,65.32,27,0,9.93,TD,1613021221
Lençóis Paulista,-22.5986,-48.8003,69.01,80,70,4.0,BR,1613021221
Half Moon Bay,37.4636,-122.4286,51.8,93,20,0.78,US,1613020656
Alta Floresta,-9.8756,-56.0861,70.79,96,100,1.07,BR,1613021221
São Filipe,14.8961,-24.4956,70.72,73,32,10.94,CV,1613021222
Cherskiy,68.75,161.3,-15.07,88,0,4.18,RU,1613021222
Bethel,41.3712,-73.414,25.0,74,90,1.28,US,1613021222
Denpasar,-8.65,115.2167,86.0,74,20,9.22,ID,1613021222
Mackay,-21.15,149.2,80.6,74,40,13.8,AU,1613021223
Manaure,11.7751,-72.4445,74.37,81,0,8.5,CO,1613021223
Mount Gambier,-37.8333,140.7667,89.6,27,90,18.41,AU,1613020993
Krasnosel'kup,65.7,82.4667,-23.12,86,94,4.88,RU,1613021223
Bāsār,27.9833,94.6667,76.14,28,2,0.49,IN,1613021224
Santa Barbara,34.7333,-120.0343,51.01,81,75,4.61,US,1613021224
Along,28.1667,94.7667,77.22,28,36,0.76,IN,1613021224
Unguía,8.0434,-77.0945,73.54,87,47,3.06,CO,1613021225
Mut,36.6439,33.4389,49.84,55,0,3.69,TR,1613021225
Bhikangaon,21.8667,75.95,78.13,18,97,5.93,IN,1613021225
Praia da Vitória,38.7333,-27.0667,57.0,71,20,27.81,PT,1613021225
Ugoofaaru,5.6667,73.0,81.7,67,58,9.37,MV,1613021226
Karratha,-20.7377,116.8463,92.41,48,0,10.36,AU,1613021226
Berlevåg,70.8578,29.0864,17.6,73,20,9.22,NO,1613021226
Meulaboh,4.1363,96.1285,86.72,64,91,2.75,ID,1613021227
Jasper,37.2001,-94.3502,15.8,86,90,10.36,US,1613021227
Palu,-0.8917,119.8707,91.08,53,91,4.45,ID,1613021227
São João da Barra,-21.6403,-41.0511,73.04,91,94,4.29,BR,1613021227
College,64.8569,-147.8028,3.0,78,75,1.5,US,1613021228
Sørland,67.667,12.6934,31.87,97,96,14.74,NO,1613021228
Kharan,28.5833,65.4167,66.99,23,50,6.17,PK,1613021228
Bone,51.9669,12.1396,21.2,93,0,6.91,DE,1613021228
Maridi,4.9158,29.4742,70.63,33,72,1.92,SS,1613021229
Tarakan,3.3,117.6333,78.8,89,75,5.75,ID,1613021229
Lüderitz,-26.6481,15.1594,66.87,77,42,7.31,NA,1613021229
Hirara,24.8,125.2833,71.6,94,75,27.63,JP,1613021229
Kahului,20.8947,-156.47,73.4,56,75,11.5,US,1613021229
Cayenne,4.9333,-52.3333,75.2,100,75,9.22,GF,1613021230
Broken Hill,-31.95,141.4333,98.6,16,19,10.36,AU,1613021230
Bella Union,-30.2752,-57.6007,67.28,88,100,4.03,UY,1613021230
Wanning,18.8003,110.3967,71.91,59,1,7.87,CN,1613021230
Nybro,56.7446,15.9071,23.0,86,75,10.36,SE,1613021231
Hopeman,57.7068,-3.4291,8.6,92,0,3.44,GB,1613021231
St. George's,12.0564,-61.7485,77.0,83,20,11.5,GD,1613021231
Carora,10.1755,-70.0827,66.13,81,38,4.56,VE,1613021231
Parkersburg,39.2667,-81.5615,26.6,80,90,4.61,US,1613021214
Thinadhoo,0.5333,72.9333,81.9,79,23,12.21,MV,1613021232
Palmer,42.1584,-72.3287,21.0,79,90,1.3,US,1613021247
Campos do Jordão,-22.7394,-45.5914,64.99,89,51,1.99,BR,1613021104
Kasungu,-13.0333,33.4833,67.15,94,100,1.3,MW,1613021248
Haapiti,-17.5667,-149.8667,80.6,69,75,4.61,PF,1613021248
Ende,-8.8432,121.6623,85.32,70,100,4.97,ID,1613021248
Mitsamiouli,-11.3847,43.2844,82.9,76,97,15.77,KM,1613021249
Dubovka,49.0583,44.829,35.6,100,90,6.71,RU,1613021249
Ucluelet,48.9329,-125.5528,37.0,86,50,11.77,CA,1613020967
Yeppoon,-23.1333,150.7333,84.2,48,75,11.5,AU,1613021250
Vila Franca do Campo,37.7167,-25.4333,59.0,72,40,26.46,PT,1613021250
Morón,-34.6534,-58.6198,70.0,98,82,1.01,AR,1613021250
Port Elizabeth,-33.918,25.5701,73.4,88,75,3.44,ZA,1613021144
Cidreira,-30.1811,-50.2056,73.06,84,37,13.02,BR,1613021251
The Valley,18.217,-63.0578,77.0,78,40,8.05,AI,1613021251
Touros,-5.1989,-35.4608,77.0,94,75,6.91,BR,1613021251
Oyón,-10.6681,-76.7731,45.9,64,99,1.72,PE,1613021251
Chokurdakh,70.6333,147.9167,-13.83,88,34,7.67,RU,1613021252
Nāhan,30.55,77.3,68.95,35,0,3.91,IN,1613021252
Mangaratiba,-22.9597,-44.0406,71.6,88,40,6.91,BR,1613021252
Vostok,46.4856,135.8833,19.87,91,2,3.38,RU,1613021252
Biri,12.6833,124.3636,81.9,78,32,4.03,PH,1613021253
San Patricio,28.017,-97.5169,55.4,94,90,18.41,US,1613021253
Mwinilunga,-11.7358,24.4293,63.7,97,100,4.81,ZM,1613021253
La Romana,18.4273,-68.9728,73.13,84,45,12.53,DO,1613021253
Sinnamary,5.3833,-52.95,76.95,84,88,12.88,GF,1613021254
Taoudenni,22.6783,-3.9836,60.84,27,0,9.93,ML,1613021254
Winfield,37.2398,-96.9956,15.8,73,90,13.8,US,1613021254
Tolaga Bay,-38.3667,178.3,69.98,77,97,3.04,NZ,1613021254
Kuytun,54.3419,101.5036,3.72,91,100,10.4,RU,1613021254
Hofn,64.2539,-15.2082,39.18,73,100,14.18,IS,1613021255
Buraidah,26.326,43.975,51.8,93,0,2.3,SA,1613021092
Forsytheganj,52.6333,29.7333,7.21,95,100,5.26,BY,1613021255
Ballina,-28.8667,153.5667,78.8,57,75,10.36,AU,1613021255
Gohadi,26.4261,78.4447,74.79,40,0,0.96,IN,1613021256
Gloversville,43.0528,-74.3438,17.01,67,90,2.57,US,1613021256
Puerto Carreño,6.189,-67.4859,78.91,54,88,7.99,CO,1613021256
San Jose,37.3394,-121.895,51.8,76,20,0.63,US,1613021193
Sabang,5.8933,95.3214,83.25,70,1,8.5,ID,1613021257
Olinda,-8.0089,-34.8553,78.8,73,40,9.22,BR,1613021153
Dhenkānāl,20.6667,85.6,83.17,28,17,3.02,IN,1613021257
Morondava,-20.2833,44.2833,78.22,83,100,13.0,MG,1613021257
Acajutla,13.5928,-89.8275,76.84,73,1,5.44,SV,1613021257
Portland,45.5234,-122.6762,42.01,65,75,4.61,US,1613020755
Severnyy,50.677,36.5532,19.4,93,90,6.71,RU,1613021258
Sawākin,19.1059,37.3321,75.09,78,18,8.37,SD,1613021258
Twin Falls,42.3505,-114.6445,36.0,69,1,10.36,US,1613021258
Nome,64.5011,-165.4064,-14.8,58,1,5.75,US,1613021259
Harper,4.375,-7.7169,78.37,88,55,6.42,LR,1613021259
São Gabriel da Cachoeira,-0.1303,-67.0892,73.98,95,95,1.05,BR,1613021259
Gerāsh,27.6652,54.1371,57.2,41,0,1.81,IR,1613021259
Ulaanbaatar,47.9077,106.8832,14.0,67,75,6.71,MN,1613021260
Cap-aux-Meules,47.3821,-61.8597,19.4,68,100,24.16,CA,1613021042
Vung Tau,10.346,107.0843,79.0,73,81,12.91,VN,1613021260
Sarishābāri,24.7333,89.8333,73.17,40,0,2.64,BD,1613021260
Paamiut,61.994,-49.6678,19.62,82,0,6.71,GL,1613021261
Ixtapa,20.7,-105.2,71.6,73,90,1.39,MX,1613021261
Namtsy,62.7161,129.6658,-13.0,77,0,6.71,RU,1613021261
Ivanivka,46.7208,34.553,38.8,91,100,6.78,UA,1613021261
Caohai,26.8661,104.2841,44.2,75,90,2.55,CN,1613021261
Comodoro Rivadavia,-45.8667,-67.5,69.8,60,0,8.05,AR,1613021212
Nsanje,-16.92,35.262,76.12,94,100,2.77,MW,1613021262
Tucuruí,-3.7661,-49.6725,74.16,96,97,4.05,BR,1613021262
Lewisville,33.0462,-96.9942,28.99,93,90,13.53,US,1613020841
Ola,59.5833,151.2833,19.87,90,89,6.46,RU,1613021263
Tomatlán,19.9333,-105.25,61.27,92,0,0.76,MX,1613021263
Trindade,-16.6494,-49.4889,71.6,78,75,2.28,BR,1613021263
Kiryat Gat,31.61,34.7642,53.01,87,0,1.14,IL,1613021263
Sorong,-0.8833,131.25,85.5,68,60,6.13,ID,1613021264
Florianópolis,-27.6146,-48.5012,71.6,88,0,3.44,BR,1613021034
Ostrovnoy,68.0531,39.5131,0.97,92,55,12.44,RU,1613021264
Kindu,-2.95,25.95,71.53,92,99,0.72,CD,1613021265
Zhigansk,66.7697,123.3711,-10.52,87,100,5.88,RU,1613021265
Vanimo,-2.6741,141.3028,82.78,81,84,10.63,PG,1613021265
Bubaque,11.2833,-15.8333,76.51,66,83,12.8,GW,1613021265
Leningradskiy,69.3833,178.4167,-28.88,82,0,4.03,RU,1613021266
Kano,12.0001,8.5167,59.0,47,0,2.3,NG,1613021266
Qasigiannguit,68.8193,-51.1922,14.0,67,90,14.97,GL,1613021266
Te Anau,-45.4167,167.7167,56.84,60,87,7.31,NZ,1613021268
Saint Anthony,45.0205,-93.218,-4.0,59,1,6.91,US,1613021268
Walvis Bay,-22.9575,14.5053,68.0,88,90,3.44,NA,1613021268
Bintulu,3.1667,113.0333,87.8,70,20,9.22,MY,1613021268
Xingyi,24.1877,102.817,59.88,54,0,6.38,CN,1613021269
Harbour Breton,47.4833,-55.7983,19.11,89,0,33.22,CA,1613021269
Altay,47.8667,88.1167,13.48,79,74,1.12,CN,1613021269
Lavrentiya,65.5833,-171.0,-27.29,79,0,9.51,RU,1613021269
Qaqortoq,60.7167,-46.0333,33.8,27,20,31.07,GL,1613021270
Dingle,10.9995,122.6711,85.01,73,32,6.06,PH,1613021270
Padang,-0.9492,100.3543,86.0,66,20,3.44,ID,1613021165
